"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2021","1.2517","1.2547","1.2910","1.1985","634.25M","-0.24%"
"Jun 25, 2021","1.2547","1.3570","1.3958","1.2449","943.95M","-7.54%"
"Jun 24, 2021","1.3570","1.2506","1.3973","1.2029","446.00M","8.51%"
"Jun 23, 2021","1.2506","1.1520","1.3065","1.1100","963.81M","8.56%"
"Jun 22, 2021","1.1520","1.1757","1.2625","1.0010","462.25M","-2.02%"
"Jun 21, 2021","1.1757","1.4269","1.4269","1.1680","841.29M","-17.60%"
"Jun 20, 2021","1.4269","1.3856","1.4269","1.3066","436.50M","2.98%"
"Jun 19, 2021","1.3855","1.4127","1.4405","1.3838","323.50M","-1.94%"
"Jun 18, 2021","1.4129","1.4809","1.4926","1.3756","386.36M","-4.60%"
"Jun 17, 2021","1.4810","1.4843","1.5380","1.4580","311.28M","-0.16%"
"Jun 16, 2021","1.4833","1.5564","1.5747","1.4746","385.43M","-4.70%"
"Jun 15, 2021","1.5565","1.5757","1.6104","1.5448","382.73M","-1.23%"
"Jun 14, 2021","1.5758","1.5585","1.5934","1.5087","495.19M","1.10%"
"Jun 13, 2021","1.5586","1.4773","1.5791","1.4008","594.54M","5.52%"
"Jun 12, 2021","1.4772","1.4362","1.4923","1.3578","566.56M","2.87%"
"Jun 11, 2021","1.4360","1.5315","1.5451","1.4193","442.16M","-6.24%"
